source_doc_id,cited_doc_id,type_of_reference,details
R1-2401793,R1-2400947,Contribution,UCI dropping procedure analysis for PUSCH
R1-2410823,R1-2409923,Discussion Paper,Background analysis on HARQ-ACK codebook issues
R1-2407303,TR 38.843,Technical Report,Rel-18 Study Item report on AI/ML air interface
R1-2403958,R1-2405308,CR Proposal,Correction on SCell dormancy interpretation during BWP changes
R1-2410140,R1-2407587,Meeting Report,Report from RAN1#118bis meeting
R1-2410198,RP-242394,Citation,WID revision for NR MIMO Phase 5 specifying RAN1 objectives
R1-2404867,Draft Report of 3GPP TSG RAN WG1 #116b,Citation,Agreements from previous RAN1 meetings on CLI handling schemes.
R1-2406555,38.211,Technical Specification,NR Physical channels and modulation
R1-2404785,38.321,Technical Specification,MAC protocol specification for Timing Advance reporting
R1-2405002,TS 22.137,Technical Specification,Service requirements for ISAC (Stage 1).
R1-2408522,RP-234039,WID Citation,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2400348,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-2405085,RP-234065,WID Reference,New WID on Network Energy Savings enhancements
R1-2401348,RP-234056,Work Item,Approved work item for LP-WUS specification
R1-2400177,RP-234035,Work Item Description,Evolution of NR duplex operation: Sub-band full duplex (SBFD)
R1-2405972,R2-2405767,Liaison Statement,Original questions on DL coverage enhancements
R1-2404693,RAN1 #116b Agreements,Previous Agreement,Foundational agreements on OCC support from previous meeting
R1-2405728,38.211,Normative Reference,Defines SL BWP numerology parameters
R1-2410848,RP-241789,Citation,NR-NTN Phase 3 Work Item Description
R1-2402562,TR 38.858,Technical Report,Rel-18 Study on NR Duplex Evolution
R1-2408763,RAN1 #116,Citation,Previous RAN1 meeting agreements
R1-2407801,38.331,Technical Specification,NR Radio Resource Control protocol specification
R1-2406737,RP-241515,Related Work Item,Revised Work Item for NR mobility enhancements Phase 4
R1-2400368,38.213,Technical Specification,TS 38.213 modifications for power control
R1-2410564,TR 38.843,Technical Report,Study on AI/ML for NR air interface (Rel-18)
R1-2403049,TR 38.901,Channel Model Baseline,Base document for spatial consistency modeling
R1-2400963,R1-2400962,Related Contribution,LP-WUS and LP-SS design by Nokia
R1-2407241,21.900,Technical Report,CR category definitions reference
R1-2407546,R2-2405769,Source LS,Original question on UL synchronization requirements
R1-2408422,TR 38.901,Baseline Model,Channel model for 0.5–100 GHz frequencies
R1-2400950,36.213,Citation,LTE specification for UCI handling on PUSCH
R1-2410589,R1-2403505,Summary,Final summary of Additional study on AI/ML for CSI compression
R1-2409094,R1-2407811,Contribution,ZTE's proposal on HARQ process enhancements
R1-2404714,R1-2403846,Contribution,InterDigital's views on beam management procedures.
R1-2401313,R1-2312677,Prior Agreement,FL Summary #5 on PRACH coverage enhancements from RAN1#115
R1-2409633,RP-2401614,Work Item,Revised WI on evolution of NR duplex operation
R1-2403035,RP-221348,Work Item,Revised SID on AI/ML for NR Air Interface.
R1-2402142,R1-2312708,Parameter Specification,Corrected Rel-18 higher layer parameter list for positioning configurations
R1-2409479,R1-2409305,Contribution,FL summary #5 for AI/ML in beam management
R1-2410843,37.355,Technical Report,Alignment of phase quality parameters.
R1-2404538,RP-234039,3GPP Specification,Artificial Intelligence (AI)/Machine Learning (ML) for NR air interface
R1-2407854,38.213,Technical Specification,Physical layer procedures for control channel
R1-2405715,38.331,Normative,RRC protocol specification
R1-2400312,38.214,Technical Specification,Clause 5.1 modification for PDSCH reception rules.
R1-2401258,3GPP TR 22.840,Technical Report,SA1 report on Ambient IoT use cases and requirements
R1-2404201,RP-240775,Revised WID,Study item approval for NR NTN Downlink coverage enhancements.
R1-2406766,RP-234018,Citation,New SID study on 7-24 GHz channel modeling
R1-2409751,R1-2405492,Contribution,Summary #4 of CSI prediction by LG Electronics
R1-2409694,R1-118bis,Meeting Report,Previous RAN1 agreements on antenna modeling
R1-2408885,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2408719,RP-242397,WID,Revised WID on IoT NTN enhancements for Release 19.
R1-2404592,R1-2403679,Previous meeting summary,Feature Lead Summary #4 from RAN1 #116bis discussing physical layer baseline
R1-2410584,RP-234078,Work Item Description,New WID: Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2401493,R1-2400491,Previous Contribution,Carrier wave discussion for Ambient IoT
R1-2410404,38.214,Technical Specification,Physical layer procedures for data
R1-2400966,38.213,Technical Specification Amendment,TS 38.213 v17.8.0 clauses 9.1.2 and 9.1.2.1 modified by this CR.
R1-2409603,R1-2409016,Liaison,FL summary on on-demand SIB1 procedures
R1-2401831,38.213,Technical Specification,NR Physical layer procedures for control
R1-2407046,R1-117,Previous Agreement,Antenna array size agreements for channel modeling
R1-2408413,RAN1#116,Citation,Meeting notes discussing initial trigger methods
R1-2407803,TR 38.901,Baseline Specification,Channel model framework being enhanced
R1-2401749,R1-2312594,Previous Correction,Initial collision handling for paired spectrum/SUL bands
R1-2404570,TR 38.901,Technical Report,Used for LOS probability tables and channel modeling guidelines
R1-2401439,RP-234007,Work Item Dependency,References NR MIMO Phase 5 WID approved in RAN#102
R1-2402413,R2-2401890,Citation,Related RAN2 contribution on eRedCap configurations
R1-2400736,38.848,Technical Report,Study on Ambient IoT in RAN
R1-2409781,arXiv:2312.15174,External Research Paper,6G Digital Twin Networks: From Theory to Practice
R1-2406616,R1-2405785,Citation,LS on DL coverage enhancements
R1-2404876,TR38.901,Technical Report,Baseline channel model for frequency ranges above 6 GHz
R1-2402225,38.213,Technical Specification,NR physical layer procedures for control - Referenced for power control
R1-2410641,R1-2410562,Contribution,Ericsson's analysis on MMSE receiver performance
R1-2401522,TS 38.214,Technical Specification,Physical layer procedures for NR sidelink
R1-2401813,R1-2400027,Liaison Statement,Original LS from RAN4 on UE capability for DMRS bundling in NTN
R1-2409025,R1-2401839,R18 Mirror CR,Mirror of R17 virtual PHR rules
R1-2403137,RAN1 #116 Chairman’s note,Meeting note,Agreements on SSB/PRACH adaptation from RAN1 #116
R1-2409803,R1-2403786,Citation,Final FL summary on downlink/uplink channel aspects for AIoT.
R1-2402532,RP-234035,Work Item Description,New WID: Evolution of NR duplex operation (SBFD)
R1-2402636,38.213,Technical Specification Amendment,Base specification for physical layer procedures
R1-2400604,RP-234078,Work Item Description,New WID for Non-Terrestrial Networks (NTN) in NR Phase 3
R1-2401394,38.214,Technical Specification,CSI reporting framework for NR systems
R1-2405100,R1-2312620,Liaison Statement,RAN1 LS to RAN2 motivating TRS configuration changes.
R1-2401248,RAN1 #115 Chair's Notes,Citation,Agreements on power ramping counter options for PRACH transmissions.
R1-2408166,RP-242394,Work Item Description,Revised WID for NR MIMO Phase 5 enhancements
R1-2401291,RP-234065,Citation,New WID for Rel-19 Network Energy Savings
R1-2408227,TR 38.821,Technical Report,References NTN deployment scenarios and parameter sets.
R1-2403911,R1-2403474,Meeting Summary,Summary of SBFD TX/RX procedures discussion
R1-2405094,RAN1#116bis,Meeting Notes,Chair's notes from previous RAN1 meeting discussing ISAC
R1-2406034,3GPP TR 21.900,Normative Reference,CR category definitions and approval process
R1-2403527,R1-2402030,Contribution,Huawei's analysis of UL WUS configuration options
R1-2410307,3GPP TS 36.211,Technical Specification,Physical layer procedures for half-duplex operation
R1-2408756,TR 38.901,Technical Report,Base channel model for frequencies 0.5-100 GHz
R1-2408669,RP-242408,WID Approval,New WID on Rel-19 multi-cell scheduling enhancements approved in RAN #105.
R2-2314016,R2-2313877,Attachment,Contains baseline procedure diagram for RACH-less satellite switch
R1-2407293,TR38.901,Baseline Specification,Channel model baseline being extended for 7-24GHz features
R1-2408473,RP-242354,WID,Revised WID for Enhancements of network energy savings for NR
R1-2404052,RP-233382,WID,Revised Work Item Description for Expanded and Improved NR Positioning
R1-2410277,RAN1#118,Meeting Notes,Agreements on NTN DL coverage enhancements
R1-2400768,RP-234039,Work Item Description,Rel-19 WID on AI/ML for NR Air Interface
R1-2402585,TR38.848,Technical Report,Study on Ambient IoT in RAN
R1-2404909,TR23.700-84,Technical Report,Study on AI/ML model handling in 5GC
R1-2400763,RAN1#115 Chair's Notes,Previous meeting conclusions,References agreements from RAN1#115 meeting on TCI state indication and priority rules
R1-2410500,R1-2407385,Liaison Statement,UE feature list for NR
R1-2401638,RP-223549,Work Item Description,New WID on expanded and improved NR positioning.
R1-2400419,RP-234039,Work Item Description,"New WID on AI/ML for NR Air Interface, approved at RAN#102."
R1-2402386,TR 38.848,Technical Report,Defines required functionalities for A-IoT
R1-2407986,R1-2407508,CR,Clarifies SSB-RO mapping for LTM (unclear expansion).
R1-2403477,38.214,Technical Specification,3GPP TS 38.214: NR Physical layer procedures for data
R1-2403963,38.901,Technical Report,3GPP channel model specification for 0.5-100 GHz
R1-2404301,R1-2403949,Contribution,Huawei/HiSilicon's analysis on subgrouping and LO-PO mapping.
R1-2407664,R1-2403949,Contribution,Procedures and functionalities of LP-WUS in IDLE/INACTIVE mode
R1-2400619,RP-213599,Study Item,New SI on AI/ML for NR Air Interface
R1-2410371,RP-241667,Work Item Description,Revised WID: Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2405452,R1-2405309,Draft CR,Huawei's correction on Type-2 HARQ codebook skipping during BWP switching
R1-2404010,R1-2403824,Liaison Statement,LS from RAN2 regarding SRS bandwidth aggregation
R1-2403598,R1-2403359,Contribution,Huawei's views on multiplexing prioritization
R1-2406006,Chairman's Notes RAN1#117,Previous Meeting Agreement,Foundation for OCC scheme down-selection
R1-2407550,R1-2407484,Draft LS,Endorsed liaison statement to RAN2
R1-2403632,R1-2403001,Contribution,Nokia's draft reply LS on UE assumption phrasing.
R1-2406745,RP-234007,Citation,Rel-19 MIMO Work Item Description (WID) enabling UEIBM.
R1-2404847,38.214,Technical Specification,NR Physical layer procedures for data
R1-2405379,EPC Gen2,Standard,RFID protocol used for timing relationship comparisons
R1-2403420,R1-2402092,Contribution,Nokia's input on UE-based CPP and LoS/NLoS handling.
R1-2407756,RAN1#118,Meeting Notes,Chairman's Notes from RAN1#118 meeting
R1-2405054,R1-2401768,Session Notes,Previous meeting notes from RAN1#116-bis
R1-2401557,TR 38.843,Technical Report,Rel-18 study on AI/ML for NR air interface
R1-2406290,R1-2406289,Related Work,Xiaomi's previous contribution on frame structure
R1-2401790,R1-2312696,Liaison Statement,LS to RAN2 on UL transmission extension
R1-2409989,R1-2407305,Meeting Summary,Summary of model/data aspects from RAN1 #118.
R1-2408227,RAN1 #118 Chair’s Notes,Citation,Supports observations on SSB periodicity extensions for NTN overhead reduction.
R1-2408422,R1-2407481,Session Notes,RAN1#118 meeting notes on channel modeling
R1-2406890,TR 38.901,Technical Report,Channel model for frequencies from 0.5 to 100 GHz
R1-2407645,RP-234056,Citation,New WID: Low-power wake-up signal and receiver for NR (LP-WUS/WUR).
R1-2405874,RAN1#116bis,Previous Meeting Report,Final Report of RAN1#116bis discussing SRS transmission conclusions
R1-2402054,TR 38.843,Technical Report,Rel-18 Study on AI/ML for NR Air Interface
R1-2406029,RP-234007,Work Item Description,New WID: NR MIMO Evolution Phase 5 by Samsung
R1-2407011,R1-2407010,Companion Contribution,Detailed technical analysis supporting this CR
R1-2410412,RAN1#118bis,Previous Meeting Agreement,Chairman notes from RAN1#118bis meeting regarding SSB-RO mapping
R1-2410436,RP-242394,Revised Work Item,WID revision: NR MIMO Phase 5 (Sep 2024)
R1-2406594,TR 38.843,Technical Report,Ground-truth label generation requirements for AI/ML positioning
CR-Form-v12.2 CHANGE REQUEST 4,38.212,Technical Specification,Specifies CBG grouping procedures in Clause 7.3.1.1.2
R1-2401392,R2-2313877,Technical Contribution,RACH-less satellite switch procedure by Apple
R1-2409842,RAN1#118bis Chairman Notes,Meeting Summary,Agreements on UE-initiated beam reporting procedures.
R1-2404935,RP-234035,Work Item Description,Rel-19 Work Item on NR Duplex Operation Evolution
R1-2405257,RP-234078,Background,New WID for NTN Phase 3 enhancements
R1-2404562,R1-2403777,Contribution,Final summary of AI 9.5.3 for R19 NES
R1-2400850,38.211,Citation,NR Physical Layer Procedures Specification
R1-2404545,TR 38.843,Technical Report,Study on AI/ML for NR positioning
R1-2400955,38.848,Technical Report,3GPP TR on Ambient IoT Study in RAN
R1-2403990,R1-2405119,Supporting Document,Background on 3 Tx UL transmission in Rel-19
R1-2406621,R1-2406564,Technical Proposal,Draft CR on CBSR configuration for CJT in TS38.214
R1-2409333,38.321,Technical Specification,MAC protocol specification referenced for activation command procedures
R1-2401389,TS 38.331,Technical Specification,RRC protocol specification for NR power control parameters
R1-2403451,TR 38.865,Technical Report,Study on further NR RedCap UE complexity reduction.
R1-2408747,3GPP TR 22.837,Feasibility Study,ISAC feasibility study for Release 19
R1-2405411,R1-2404535,Contribution,Ericsson's analysis on RAN4 LS impact
R1-2400777,TR 38.848,Technical Report,Study on Ambient IoT in RAN (Rel-18)
R1-2408265,RP-234058,Related Work,New SID approval for Ambient IoT study in NR.
R1-2402101,RP-234007,Work Item Description,New WID: NR MIMO Phase 5 defining asymmetric TRP scenarios
R1-2409739,RP-234018,Study Item Description,Original SID approval for 7-24GHz channel modeling
R1-2400994,RP-213596,Work Item Description,New WID on IoT NTN enhancements (Dec 2021)
R1-2402474,TR 38.864,Technical Report,Study on network energy savings techniques
