agenda_id,release,topic,description
9.5.1,Release 19,On-demand SSB for NES,Enhancements for on-demand SSB transmission in SCell operation to support network energy saving
8.2.1,Rel-18,UE Features for Rel-18 Work Items,Feature group enhancements for Release 18 capabilities
NR_pos_enh2-Core,,Positioning Enhancements,Discussion on SRS configuration improvements for NR positioning.
9.1.4.1,,NR MIMO Evolution,Discussion of beam management enhancements including group-based reporting for Rel-18.
3,Release 18,CCs Capability Clarification,Request for granularity clarification of 'across all CCs' capabilities
9.5.3,Rel-19,Adaptation of common signal/channel transmissions,Discussion on mechanisms for adapting SSB/PRACH/paging transmissions to enable network energy savings while maintaining legacy UE compatibility
9.3.2,Unknown,SBFD random access operation,"Discussion on random access procedures for subband full duplex (SBFD) operation in connected and non-connected modes, including resource allocation, latency reduction, and coverage enhancements."
9.11.1,Rel-19,NR-NTN downlink coverage enhancement,Study of DL coverage improvements for NTN considering power sharing and regulatory constraints
9.12.1,Rel-19,Discussion on multi-cell PUSCH/PDSCH scheduling with a single DCI,"Discussion on Rel-19 enhancements for multi-cell scheduling, including SCS/carrier type support, multiple PUSCHs/PDSCHs per cell, and DCI design."
9.1,Rel-19,Artificial Intelligence (AI)/Machine Learning (ML) for NR Air Interface,"Discussions on beam management, positioning accuracy, CSI prediction, and compression using AI/ML techniques."
5.2.2.5,,CSI reference resource definition,Clarification of CSI reporting conditions with cell DTX
9.7.2,5G-Advanced,Channel modelling for ISAC,"Discussion on modeling requirements for integrated sensing and communication systems, including target RCS characteristics and deployment scenarios"
9.3.1,Rel-19,SBFD Procedures,Discussion on configuration and operation procedures for Sub-band Full Duplex operation in NR systems
NR_pos_enh2-Core,,TA validation for LPHAP,Discussion on reference signal selection (SSB) for RSRP-based TA validation in SRS positioning validity areas.
9.11.1,Release 19,Discussion on downlink coverage enhancement for NR NTN,"Study item approved in RAN #102 to evaluate DL coverage enhancements for NTN through system-level and link-level simulations, focusing on LEO scenarios and beam management techniques."
9.11.4,Rel-19,UL Capacity Enhancements for IoT NTN,Discussion on orthogonal cover code (OCC) multiplexing schemes for NPUSCH/NPRACH in GEO/LEO scenarios
9.11.1,Rel-19,NR-NTN Downlink Coverage Enhancements,Study and specification of DL coverage enhancements for GSO/NGSO constellations in FR1/FR2-NTN.
9.12.1,Rel-19,Multi-cell scheduling enhancements,"Discussion of mechanisms for scheduling multiple cells with single DCI, including HARQ timing, field design, and codebook enhancements"
9.2.1,Release 19,Enhancements for UE-initiated beam management,"Discussion on standardization of triggering events, measurement configurations, and reporting mechanisms for UE-initiated beam management in NR MIMO systems"
9.5.3,Rel-19,Adaptation of common signal/channel transmission,"Specification of SSB periodicity adaptation, PRACH configuration adaptation, and paging occasion optimization for network energy savings without impacting legacy UEs"
9.1.3.2,Release 19,CSI Feedback Enhancement,"Study of AI/ML-based CSI compression improvements including temporal domain techniques, inter-vendor collaboration models, and performance monitoring mechanisms"
9.4.2.1,6G,Optimal Training Sequence for Backscattering Tags,"Discusses the design of training sequences for backscatter tags in ambient IoT, addressing challenges such as synchronization, modulation schemes (OOK/BPSK), and multi-tag coordination."
9.11.1,Rel-19,NR-NTN downlink coverage enhancement,"Discussion of beam hopping impacts, SSB periodicity extensions, and synchronization requirements for LEO satellite scenarios in FR1/FR2 bands."
8.2.2,Rel-18,UE features for other Rel-18 work items (Topics B),"Discussion of UE capability features for network energy savings enhancements, positioning improvements, MIMO enhancements, and IoT/NTN integration"
NR_SL_enh2-Core,Rel-18,Core Aspects of NR Sidelink Enhancements,Discussion of fundamental enhancements for NR sidelink communication including power control mechanisms and resource allocation
9.4.2.4,Rel-19,Carrier-Wave Waveform Characteristics for A-IoT,"Study of waveform characteristics for externally provided carrier waves in A-IoT, including interference handling at UL receivers and NR base stations."
9.6.3,Rel-19,LP-WUS Design and Operation,"Discussion of low-power wake-up signal operation in connected mode including activation procedures, monitoring configurations, and interaction with existing DRX mechanisms"
9.11.4,Rel-19,IoT-NTN Uplink Capacity Enhancements,"Discussion on OCC schemes for NPUSCH/NPRACH, repetition pattern impacts, DMRS enhancements, and configuration signaling methods"
9.1.1,Rel-18/19,AI/ML for Beam Management,"Discussion on AI/ML enhancements for beam measurement/reporting, NW/UE-side model configurations, and monitoring mechanisms"
9.3.3,Release 18/19,Cross-link interference handling for duplex evolution,"Discussion on CLI mitigation techniques for SBFD, including gNB/UE coordination, beam management, and measurement frameworks."
9.5.3,Rel-19,Adaptation of common signal/channel transmissions,"Discussion of SSB/PRACH/paging time-domain adaptation mechanisms for network energy savings, focusing on RRC state dependencies (CONNECTED/INACTIVE), SCell configurations, and legacy UE impacts."
9.4.2.3,Release 18,Downlink and uplink channel/signal aspects for Ambient IoT,"Discussion of physical layer structures including preamble design, control signaling, and proximity determination methods for Ambient IoT"
9.1.1,Rel-18,AI/ML for Beam Management,"Discussion of specification support for DL Tx beam prediction models, including spatial/temporal prediction cases and associated consistency mechanisms"
9.2.1,Rel-19,Enhancements for UE-initiated/event-driven beam management,"Discussion on physical layer enhancements for UE-controlled beam reporting mechanisms including event triggering criteria, measurement procedures, and signaling optimization"
7,Rel-18,Type-2 HARQ-ACK Codebook and DL BWP Change,"Discussion on pseudo-code clarifications for HARQ-ACK codebook generation during BWP switching, including PUCCH transmission timing and trigger condition specifications"
7,Rel-15,Higher layer parameters for DCI format 2_3,Discussion on modifications to RRC parameters for enabling DCI format 2_3 usage in serving cells with configured PUSCH and independent SRS power control
9.12,Rel-19,Multi-Carrier Enhancements for NR Phase 2,Discussions on multi-cell scheduling enhancements including single-DCI multi-cell PUSCH/PDSCH scheduling across different SCS/carrier types
9.5.1,Rel-19,On-demand SSB SCell operation for eNES,Discussion of mechanisms for dynamic SSB transmission in secondary cells to enable network energy savings while maintaining mobility and measurement requirements
9.10.1,Rel-19,XR during RRM measurements,"Discussion on mechanisms to enable XR transmissions during RRM measurement gaps via DCI-based gap skipping, including cross-carrier scheduling configurations and UE behavior."
8.4,Rel-18,Maintenance on other Rel-18 work items - NR NTN,"Session notes covering maintenance activities for NR NTN specifications including alignment corrections, timing adjustments, and FR2-NTN introduction"
9.2.2,Rel-19,MIMO Enhancements,Extension of CSI support to 128 ports and UE reporting enhancements for non-ideal CJT synchronization
8.6,Rel-18,Maintenance of Rel-18 coverage enhancements,"Discussion of power ramping counter suspension rules, PRACH mask index application, and PHR reporting mechanisms for dynamic waveform switching in Rel-18."
9.4.2.3,Rel-18,Ambient IoT Physical Layer Design,"Discussion of physical channel structures and protocols for Ambient IoT systems including synchronization, modulation, and proximity detection"
9.6.2,Rel-19,LP-WUS Operation in IDLE/INACTIVE Mode,"Specification of procedures and configurations for LP-WUS based paging monitoring, including synchronization signals, measurement relaxation, and subgrouping mechanisms"
9.11.1,NR Phase 3,NR-NTN downlink coverage enhancement,"Discussion of physical layer enhancements for NTN coverage including SSB periodicity extension, beam hopping support, and control channel improvements"
NR_pos_enh2-Core,Release 18,SRS BW Aggregation Impact Analysis,Discussion on solutions for handling SRS bandwidth aggregation impacts on other channels/signals
NR_Mob_enh2-Core,Rel-18,UL/SUL Indication Corrections,Clarification of UL/SUL carrier selection mechanisms for CFRA in cell switching scenarios.
9.8.1,18,Channel model validation for 7-24GHz,Discussion on validation and enhancement of TR38.901 channel models for 7-24GHz frequency range
9.5.2,NR Rel-19,On-demand SIB1 for UEs in idle/inactive mode for NES,"Discussion on procedures for UL WUS-triggered SIB1 transmission, RAR parameter configuration, and UE/NES cell coordination to optimize network energy savings."
9.1.3.1,Release 18,AI/ML for CSI prediction,"Evaluation of AI-based CSI prediction performance against Rel-16/18 benchmarks, including throughput gains, generalization across scenarios, and specification impacts"
8.1,Rel-18,MIMO enhancement,Discussion on physical layer enhancements for multi-antenna and multi-TRP transmissions
9.1.4.2,Rel-19,AI/ML Model and Data Aspects,"Discussion on model identification, UE data collection, and model transfer/delivery for AI/ML in NR."
9.1.2,Release 19,Specification support for positioning accuracy enhancement,"Discussion of AI/ML-based positioning enhancements including model input specifications, training data requirements, and signaling mechanisms for Release 19"
9.1.4.2,5G-Advanced,Additional study on other aspects of AI model and data,"Discussion of AI/ML model management aspects including physics-based modeling requirements, model identification procedures, UE data collection mechanisms, and standardized model transfer solutions"
9.12.1,Rel-19,Discussion on multi-cell PUSCH/PDSCH scheduling with a single DCI,"Enhancements for multi-cell scheduling with single DCI, including support for different SCS/carrier types, multiple PUSCHs/PDSCHs per cell, and HARQ-ACK codebook handling."
9.4.1.2,Rel-19,Ambient IoT Device Architecture,"Study device architectures for Ambient IoT, including evaluation of coverage targets, latency definitions, power consumption models, and feasibility of components like reflection amplifiers and frequency shifters."
8.1,Rel-18,Rel-18 MIMO Maintenance,Discussion of enhancements for MIMO operations including power control and timing alignment
8.1,Rel-18,Maintenance on other Rel-18 work items - Coverage Enhancement,Discussion and approval of maintenance CRs for Coverage Enhancement features including power headroom reporting and PRACH configuration
R1-2400008,,MAC Layer Handling for SL Positioning,Discussion of MAC layer agreements for sidelink positioning including resource prioritization and retransmission mechanisms
9.4.2.2,Rel-19,On remaining frame structure and timing aspects for AIoT,"Discussion of frame structure components, timing relations, and random access procedures for Ambient IoT devices in NR networks"
