doc_id,entity_name,context,frequency
R1-2410594,SMa,Proposed deployment parameters,8
R1-2400534,CSI Enhancement,High/medium velocity support and TDCP reporting,8
R1-240XXXX,Cell DRX,Energy saving mechanism affecting transmission decisions,12
R1-2406607,FDMA,Device multiplexing through frequency shifts,15
R1-2400728,CJT,Delay spread compensation and TRP selection mechanisms,23
R1-2406239,CLI,UE-to-UE and gNB-to-gNB interference mitigation in SBFD,35
R1-2408720,Far-field Distance,Minimum distance requirement between Tx/Rx and targets,2
R1-2408321,UL WUS,PRACH-based trigger for SIB1 request,12
R1-2403799,SCI format 1-A,Core modification target for sidelink scheduling,15
R1-2408240,ISAC,Core technology for joint sensing/communication in 5G NR,12
R1-2401089,TCI-State,Clarification of framework applicability,15
R1-2407070,OFDM,R2D transmission waveform requirements,4
R1-2408367,SSB,Time domain adaptation mechanisms including periodicity extension and beam compression,28
R1-2403805,TCI State,Clarification of power control parameter derivation per TCI state,6
R1-2410654,TXRU Mapping,Evaluated as factor affecting CSI prediction generalization performance,8
R1-2406563,SBFD,Inter-subband CLI mitigation in Sub-Band Full Duplex configurations,15
R1-2400609,Ambient IoT,Main subject of evaluation assumptions,42
R1-2410451,CBR,Congestion control mechanism for SL PRS resource allocation,23
R1-2404546,CSI Framework,Used as baseline for Set A/Set B beam configuration,15
R1-2408265,Preamble (R2D Timing Acquisition Signal),Enhancing random access efficiency via ON/OFF pattern integration,6
R1-2410362,SSB,SSB adaptation mechanisms for connected-mode UEs,42
R1-2408945,Multi-Tiered Beam Operation,Beam hierarchy for optimized resource allocation,9
R1-2400751,DFT-s-OFDM,Baseline waveform for PUSCH enhancements in NTN.,4
R1-2401593,RRC_INACTIVE,Transmission procedures,10
R1-2400938,CSI-RS,Used for beam measurement in group-based reporting,15
R1-2405075,C-DRX,Legacy power-saving configuration,10
R1-2402015,Golay Sequences,Proposed for D2R preamble/postamble due to good correlation properties.,2
R1-2404502,CP-OFDM,Discussed as potential waveform for reader transmissions,8
R1-2400690,UAV,Object detection for unmanned aircraft system traffic management,3
R1-2404934,SBFD,Core technology for NR duplex enhancement in Rel-19,25
RP-240858,TEI CR,Main subject of the procedural update document,45
R1-2409294,NZP CSI-RS,Excluded spatial relation source,2
R1-2404404,OFDM,R2D signal waveform requirements,8
R1-2402385,CRC,Error detection for R2D/D2R links,7
R1-241xxxx,TS 38.213,Target specification for CR modifications,15
R1-2401070,SRS,Collision handling in RRC_INACTIVE state,12
R1-2410679,PRACH,Discussion of PRACH resource allocation for UL WUS,28
R1-2405933,CSI-RS,Discussed in resource allocation and measurement procedures,15
R1-2405463,eRedCap,Discussed throughout as the primary enhancement target for Rel-18 RedCap UEs,42
R1-2404580,SIB19,Ephemeris update mechanism for NTN UEs,4
R1-2402077,Energy Harvesting,Impact of waveform PAPR on RF energy conversion efficiency,3
R1-2402882,RF Energy Harvester,Detailed analysis of rectifier circuits and matching networks,9
R1-2401398,DCI,Triggering mechanisms for SRS transmissions,9
R1-2406353,AI/ML,Used for beam prediction and management optimization,42
R1-2406648,MAC CE,Control signaling requirements for MIMO features,5
CR-Form-v12.3,EN-DC,Parameter configuration in SCG cells without P0-PUSCH-AlphaSet,5
R1-2404856,DCI 1_3,Number of MCS/NDI/RV blocks determination for TB-2,10
R1-2407783,PL RS,Pathloss estimation for UL power control in cell switching scenarios,28
R1-2403153,TS 38.214,Clause 6.2.1.4.2 defines guard periods for SRS transmission.,3
R1-2408822,C-DRX,Integrated with LP-WUS monitoring configurations for power saving,22
R1-2402291,FG40-7-1,Existing UE capability framework for codebook support,4
R1-2402452,MC-DCI,Clarification of processing capabilities for joint multi-cell scheduling,15
R1-2406955,SL PRS,Power control equations and resource pool configurations,15
R1-2402428,HARQ-ACK,Multiplexing procedures in PUSCH when no PUCCH detected,25
R1-2410034,SSB,Proposals 1-6 discuss SSB periodicity adaptation in SCells,28
R1-2410452,CBR,Congestion control parameter configuration,15
R1-2401005,CSI Compression,Main focus of the document discussing various compression techniques,35
R1-2405890,TCI,Unified TCI framework enhancements,12
R1-2405600,Gold Sequence,Baseline candidate for overlaid OFDM sequences due to existing NR compatibility,15
R1-2405529,NR Sidelink,Co-configuration restrictions in resource pools,5
R1-2402394,LP-WUS,Main focus of the document discussing configuration and monitoring procedures,45
R1-2409976,Manchester Encoding,Preferred for both R2D and D2R due to spectral efficiency and BER performance,8
R1-2400222,MPR,Power domain enhancements for MPR reduction with new UE capabilities,12
R1-2407967,CLI,Interference mitigation in SBFD systems,35
RAN1#119 Chair's Notes,MIMO,Phase 5 enhancements in Agenda 9.2 for UE-initiated beam reporting and CSI.,12
R1-2410678,SIB1,Core focus of on-demand transmission mechanisms,45
R1-2406653,EPC Gen-2 UHF RFID,Baseline comparison for Device 1's passive communication and energy harvesting.,
R1-2410207,Ambient IoT,Core subject of evaluation framework discussion,28
R1-2406144,Type 2b Ambient IoT Device,UL transmission generation and CW characteristics harmonization,5
R1-2401924,dormant BWP,Conditions for switching active DL BWP to dormant state on SCells,5
R1-2400659,DCI Format 2_3,Proposed for SRS power control adjustments in asymmetric scenarios,8
R1-2410525,UAV,Primary use case for sensing target detection,3
R1-2408286,MAC CE,Activation/deactivation of positioning SRS resources,4
R1-2406046,MAC-CE,RS configuration updates for new beams,15
R1-2407798,UE Speed,Impact analysis on AI model performance,3
R1-2404179,OFDM,R2D waveform study with CP handling challenges,15
R1-2409957,Associated ID,NW-UE consistency mechanism,8
R1-2401573,TR 38.843,Rel-18 Study Item report referenced for model transfer solutions,5
R1-2401087,RAN2 Agreement,Rel-18 band pair list UE capability support,8
R1-2408657,UAV,3D distribution modeling in urban/rural scenarios,28
R1-2407701,Type 3 PHR,Potential enhancements for PL offset calculation,2
R1-2405401,SL PRS,Core topic of discussion for positioning measurements,15
R1-2405006,OFDM,Waveform selection for interference mitigation,12
R2-2401890,2-step RA,Configuration requirements for eRedCap UEs,8
R1-2400213,RF Chain,Single Tx chain assumption for measurement accuracy,5
RAN1#118bis,MIMO,R19 MIMO enhancements discussion,6
RP-241668,UE,Regulatory compliance responsibility,8
R1-2406917,PSCCH,Monitoring requirements for dual starting symbols,8
R1-2410870,SSB,UE expectations for SSB reception from UL TRPs,3
R1-2410933,S-SS/PBCH,Block index description correction,
R1-2404361,PRACH,Analysis of preamble format compatibility with different bandwidth combinations,8
R1-2403230,MCE,Proposals for new FGs related to DCI 1_3/0_3 functionalities,15
R1-2401697,PRACH,Fallback mechanism for uplink carrier selection,15
R1-2401029,PDCCH,Coverage enhancement proposals,8
R1-2407168,SL-PRS,Core technology for sidelink positioning measurements,8
R1-2401618,Doppler codebook,Rel-16/17 based codebook enhancements for time-domain channel properties,7
R1-2402224,PRACH,Correction of UE capability signaling for repetitions,12
R1-2403760,mux-HARQ-ACK-withoutPUCCH-onPUSCH-r16,UE capability agreement for Release 17/18 implementation,4
R1-2403796,DCI format 0_3,Clarification of cell set mapping in scheduling,8
R2-2313848,PSSCH,Impact on SL-PRS retransmission,3
R1-2400770,CSI Prediction,Analyzed for model identification requirements and configuration matching,5
R1-2400546,Model-ID-based LCM,Proposed solution for two-sided model identification,8
R1-2402394,C-DRX,Power saving mechanism enhanced through LP-WUS integration,22
R1-2402373,RedCap,Collision handling rules for HD-FDD operation in NTN,15
R1-2400513,Non-coherent codebook,Codebook design discussion,
R1-2409940,OOK Modulation,R2D/D2R link performance evaluation under TDL-A/TDL-D channels,15
R1-2407086,CLI,CLI mitigation in SBFD systems,25
R1-2405843,DCI Format 2-6,Reference to R17 PDCCH skipping mechanism for dynamic gap skipping,5
R1-2400257,TR38.901,Baseline channel model for enhancements,18
R1-2405750,sl-PSFCH-HopID,Higher layer parameter for PSFCH sequence generation,3
R1-2409045,TS 38.211,Antenna port group definitions,1
R1-2408947,Random Selection,Coexistence analysis with IUC Scheme-2,3
R1-2409432,DFT Beams,Beamwidth analysis for different port counts,
R1-2403967,PIE Encoding,Clock-acquisition part design dependency,2
R1-2404890,OOK,Modulation for R2D/D2R transmissions,12
R1-240xxxx,RF Energy Harvesting,Power conversion efficiency and storage models,18
R1-2404616,SBFD,RO validation rules and power control in SBFD symbols,
R1-2405514,SSB,Reference RS eligibility in MAC-CE/RRC-based spatial filter updates,8
R1-2403785,ScheduledCellCombo-ListDCI-1-3,RRC configuration for valid cell combinations,18
R1-2404148,COT sharing flag,Clarification of field presence in SCI formats,8
R1-2401769,VoIP,Target service for coverage enhancements,5
R1-2409647,TR 38.901,Baseline for spatial consistency and channel modeling,4
R1-2407727,Transport Block,PHY-layer capacity constraints,7
R1-2403996,TR 38.901,Validation target for frequency-dependent channel parameters,15
R1-2401072,Sounding Reference Signal,Collision handling during transmission outside initial BWP,15
R1-2404186,LP-WUS,Waveform design and information encoding mechanisms,142
R1-2407412,PDCCH Order,Trigger mechanism for PRACH transmissions,5
R1-2406439,OCC,Uplink capacity improvement via PUSCH multiplexing,8
R1-2403757,TS 38.214,Main specification being modified,5
R1-2405659,LP-WUS,Core feature for connected mode power saving,142
R1-2401188,SBFD,Configuration of subband time/frequency locations,27
R1-2403464,SSB-Index,Parameter alignment for PDCCH scheduling in RACH-less HO,3
R1-2406959,UAV,Detection parameters for aerial vehicles with 160km/h speed,18
R1-2400296,SS/PBCH block,Puncturing mechanism for 3MHz bandwidth,9
R1-2405566,PDCCH repetition,Case 2 monitoring and Rel-16 compatibility,12
R1-2403074,PCMAX,Maximum transmit power threshold calculation,3
R1-2410268,PRDCH,End determination methods and transmission characteristics,15
R1-2404254,TCI States,Source for deriving BFD-RS sets,9
R1-2409643,SSB,Adaptation mechanisms in time domain for energy savings,28
R1-2405144,Multi-RTT,Timing referencing considerations,5
R1-2401582,Beamforming,TCI state management for inter-cell beam alignment,12
R1-2406470,SBFD,CSI reporting configurations and collision handling,42
R1-2407730,SBFD,Core technology being standardized in Rel-19,58
R1-2404036,LP-WUS,"Procedures for triggering MR wake-up, monitoring occasions, and beam sweeping",28
R1-2410568,QCL Type-A,Beam association between SSB and wake-up signals,8
R1-2401654,SBFD,Core technology for Rel-19 duplex evolution,142
R1-2408201,SRS,Configuration for 3T6R antenna switching with muted 4th port,8
R1-2400064,PRACH,Load-based time-domain configuration adjustments,15
R1-2402132,ISAC,Channel modeling framework development,25
R1-2402805,SBFD,Core technology for duplex evolution,42
R1-2407585,AI/ML for NR Air Interface,Discussed under Agenda 9.1,15
R1-2404614,MAC-CE,Mechanism for PL offset updates in pathloss estimation,5
R1-2407290,Visibility Region,Modeling spatial non-stationarity through partial visibility of antenna elements,7
R1-2400145,AI/ML,Positioning accuracy enhancement through direct and assisted methods,45
R1-2402996,Beam Management,Core use case for AI/ML enhancements in spatial/temporal beam prediction,47
R1-2410659,3GPP TR 38.901,Base communication channel model being extended for ISAC,15
R1-2400461,OOK,Proposed as UL waveform with RE-to-RU mapping in OFDM,4
R1-2409423,ZC sequences,Sequence optimization for timing error resilience,89
R1-2408848,SBFD,Operation within TDD carrier with semi-static subband configuration,27
R1-2408256,XR,Low-latency service requirements,15
R1-2404821,SSB,Adaptation mechanisms for SSB burst periodicity and beam-specific transmission.,15
R1-2403446,OFDM,R2D transmission alignment with NR symbol boundaries,15
R1-2409384,PDCCH-SFN,Handling of CORESETs configured with dual TCI states,2
R1-2408393,METIS Madrid Grid,Reference scenario for urban channel modeling,2
R1-2406355,UPT,User Perceived Throughput used for system-level performance evaluation,8
R1-2406714,3GPP TR 38.901,Used as baseline for channel modeling enhancements,15
R1-2408480,iDRX,LO periodicity alignment with iDRX cycles,12
R1-2408165,CSI,Enhancements for up to 128 CSI-RS ports,15
R1-2402124,SBFD,Core technology for simultaneous UL/DL operation,42
R1-2401357,MU-MIMO,Scheduling improvements via multi-CRI reporting,7
R1-2408581,OCC,UL capacity enhancement via symbol/slot-level spreading,15
R1-2401785,LTM,Mobility procedure requirements,5
R1-2409851,CSI,Codebook enhancements and calibration reporting,15
R1-2409147,gNB,Configuration of gNB location for ATG TA calculation,5
R1-2410405,SSB,Proposals to extend periodicity up to 160 ms and use wider beams for coverage.,15
R1-2406909,DCI 1_3,Multi-cell scheduling mechanism,8
R1-2405667,s-MeasureConfig,RSRP threshold for cell search activation,2
R1-2403345,SL-U,Multi-channel access procedure corrections,8
R1-2408060,CDL Models,Analysis of angle scaling requirements for Cluster Delay Line models,8
R1-2409550,TR38.769,Technical Report for capturing evaluation results,8
R1-2403358,TS 38.331,RRC parameter alignment,5
R1-2403007,CBRA,Time offset configuration applicability,4
R1-2404282,PRACH,Physical channel for random access in SBFD sub-bands,28
R2-2405766,RACH,Intra-cell random access procedure,
R1-2407698,Beam Management,Proposed enhancements for intra-/inter-cell scenarios,28
R1-2401589,Type-3 HARQ-ACK codebook,Enhanced codebook triggering mechanisms,15
R1-2406049,SSB,On-demand transmission mechanisms,42
R1-2403854,CodebookTypeUL,Codebook selection constraints based on UE capabilities,8
R1-2403708,TCI-State,QCL configuration for CORESET 0,8
